V1	V2
ESR1	CCND1
ESR1	AHR
ESR1	AR
ESR1	BCL2
ESR1	BLM
ESR1	BRCA1
ESR1	BTG2
ESR1	CD24
ESR1	CEBPB
ESR1	CTSD
ESR1	CXCL12
ESR1	CYP19A1
ESR1	MICB
ESR1	NRF1
ESR1	PLAC1
ESR1	RET
ESR1	SERPINB9
ESR1	VEGFA
ESR1	TFAP2C
ESR1	SOCS2
ESR1	GADD45G
ESR1	WNT7A
ESR1	WNT11
ESR1	WNT10A
ESR1	USF2
ESR1	TSPAN7
ESR1	THBD
ESR1	TAP2
ESR1	STAT5A
ESR1	SOCS5
ESR1	SOCS3
ESR1	SMAD4
ESR1	SHC1
ESR1	SELE
ESR1	PSMF1
ESR1	PPARG
ESR1	PIK3CA
ESR1	NT5E
ESR1	NR2F2
ESR1	NOS2
ESR1	NCOA3
ESR1	NCOA1
ESR1	MYB
ESR1	LTF
ESR1	GADD45B
ESR1	GADD45A
ESR1	CLIP1
ESR1	CLCF1
ESR1	CD320
ESR1	C3
ESR1	ALDOA
ESR1	AKT2
ESR1	BAG1
ESR1	CALM3
ESR1	HNF4A
ESR1	HSPA4
ESR1	PIK3R1
ESR1	PIK3R3
ESR1	SMAD3
ESR1	SMARCA4
ESR1	TAP1
ESR1	TBP
ESR1	TNFRSF14
ESR1	XBP1
FOS	CDKN1A
FOS	VEGFA
FOS	WNT11
FOS	SHC1
FOS	NOS2
FOS	ITGA2
FOS	GADD45B
FOS	CLCF1
FOS	TBX21
FOS	IL2
FOS	PDGFB
FOS	CD274
FOS	CCL2
FOS	CD40LG
FOS	CLU
FOS	CRP
FOS	CXCL8
FOS	MELTF
FOS	NTF3
FOS	PLAUR
FOS	PTGS2
FOS	ITGA5
FOS	ZYX
FOS	TRAF2
FOS	SLC3A2
FOS	SLC22A18
FOS	SHC3
FOS	F3
FOS	WNT2B
FOS	WNT10B
FOS	WNT1
FOS	TRAF3
FOS	TRAF1
FOS	TNFRSF12A
FOS	TIMP1
FOS	SOCS6
FOS	SLC4A1
FOS	SHISA5
FOS	SHC4
FOS	S100A8
FOS	RTN4RL1
FOS	PROCR
FOS	PRDX6
FOS	PLAA
FOS	NPTN
FOS	MT2A
FOS	MSR1
FOS	MSANTD3
FOS	LY9
FOS	LY6K
FOS	LIFR
FOS	LGALS3
FOS	ITGA3
FOS	ISG20
FOS	IL6ST
FOS	IL23R
FOS	IL1RL1
FOS	IL12B
FOS	IL11
FOS	ICOSLG
FOS	GNG5
FOS	FGF16
FOS	FCGR2A
FOS	FADD
FOS	EPSTI1
FOS	EMP3
FOS	DVL2
FOS	DUSP4
FOS	DTL
FOS	DRAP1
FOS	DDR1
FOS	CXCR5
FOS	CXCL14
FOS	CSF2
FOS	COTL1
FOS	CLEC4M
FOS	CHI3L1
FOS	CHEK2
FOS	CD69
FOS	CD59
FOS	CD247
FOS	CD164
FOS	CCR10
FOS	CCL5
FOS	BTK
FOS	BRAF
FOS	ANXA1
FOS	ADIPOR1
FOS	BATF
FOS	CCL3
FOS	CCL4
FOS	IL12A
FOS	SUMO2
CCND1	RB1
AHR	ESR1
AHR	FOS
AHR	CCND1
AHR	AR
AHR	BRCA1
AHR	FLT1
AHR	NRF1
AHR	SP1
AHR	SOCS3
AHR	NR2F2
AHR	NCOA1
AHR	EGR2
AHR	CD320
AHR	RELA
AHR	SMARCA4
AHR	TAP1
AHR	TBP
AHR	FOXA2
AHR	NR3C1
AHR	TNF
AHR	RTN4RL1
AHR	MT2A
AHR	ITGA3
AHR	FADD
AHR	ATF3
AHR	IL1B
AHR	IL6
AHR	RB1
AHR	BECN1
AHR	MXI1
AHR	WNT5A
AHR	SOD1
AHR	EGR1
AHR	AP2B1
AHR	C1QBP
AHR	C4A
AHR	C4B
AHR	CD83
AHR	CDK6
AHR	CREB1
AHR	FGFR1
AHR	LRP5
AHR	SLC7A5
AHR	SOCS1
AHR	TRAF7
AHR	TAPBP
AHR	REL
AHR	HES1
AHR	SIX5
AHR	PPIA
AHR	PITPNM3
AHR	PCNA
AHR	PAFAH1B1
AHR	MUC1
AHR	IL13
AHR	GAPDH
AHR	FZD5
AHR	MTDH
AHR	PCBP1
AHR	FGF8
AHR	MAX
AHR	EGR3
AHR	DLL4
AHR	CTSA
AHR	CTBP2
AHR	ALCAM
AHR	WNT4
AHR	JAG1
AHR	TRAF4
AHR	BCL11A
AHR	WNT7B
AHR	NDUFS3
AHR	PPP3CA
AHR	ATF5
AHR	ISG15
AHR	PTPRCAP
AHR	IRF1
AHR	LMO2
AHR	IL7
AHR	POU3F1
AHR	IL17D
AHR	IL17A
AHR	IL1RAP
AHR	MAFK
AHR	POLK
AHR	KITLG
AHR	FKBP1A
AHR	SOD3
AHR	ENTPD1
AR	ESR1
AR	CCND1
AR	AHR
AR	BCL2
AR	BRCA1
AR	BTG2
AR	CDH1
AR	CDKN1A
AR	CYP19A1
AR	SP1
AR	VEGFA
AR	SMAD4
AR	PPARG
AR	NCOA3
AR	NCOA1
AR	MYB
AR	GADD45B
AR	GADD45A
AR	FOXO1
AR	BAG1
AR	ERBB2
AR	IGF1R
AR	RELA
AR	SMAD3
AR	SOS1
AR	TBP
AR	HIF1A
AR	NR3C1
AR	STAT3
AR	IL2
AR	MMP9
AR	FOXA1
AR	PTGS2
AR	STAT5B
AR	TNFRSF1B
AR	TGIF1
AR	TGFB1
AR	S100A8
AR	IL6ST
AR	ETS1
AR	ADIPOR1
AR	ELK1
AR	HNF1A
AR	IL6
AR	RB1
AR	ABCB1
AR	ICAM1
AR	GATA3
AR	TCF4
AR	BSG
AR	CASP3
AR	CD83
AR	CDK6
AR	FGFR1
AR	KLK3
AR	MUC5AC
AR	PTEN
AR	HES1
AR	SCARB1
AR	NFKBIA
AR	MUC1
AR	HMMR
AR	HMGB1
AR	GAPDH
AR	CDK1
AR	HDAC1
AR	CD38
AR	FGF8
AR	HSP90B1
AR	GSK3B
AR	RAF1
AR	TCF7
AR	FGF2
AR	CD40
AR	WNT7B
AR	CASP1
AR	IFI16
AR	XRCC5
AR	CASP7
AR	ADIPOR2
AR	CD36
AR	PPBP
AR	SLC5A5
AR	IRAK2
AR	FCER1A
AR	REST
AR	IGFBP5
BCL2	BAX
BCL2	CASP3
BCL2	BAK1
BLM	FANCM
BRCA1	ESR1
